Test Case Id,Description,a,b,c,Expected,Output,Test Condition
1,Strong Robust,100,100,100,,Equilateral
2,Strong Robust,0,100,100,,OutOfRange
3,Strong Robust,100,0,100,,OutOfRange
4,Strong Robust,100,100,0,,OutOfRange
5,Strong Robust,201,100,100,,OutOfRange
6,Strong Robust,100,201,100,,OutOfRange
7,Strong Robust,100,100,201,,OutOfRange
8,Strong Robust,0,0,100,,OutOfRange
9,Strong Robust,0,100,0,,OutOfRange
10,Strong Robust,100,0,0,,OutOfRange
11,Strong Robust,201,0,100,,OutOfRange
12,Strong Robust,201,100,0,,OutOfRange
13,Strong Robust,100,201,0,,OutOfRange
14,Strong Robust,0,201,100,,OutOfRange
15,Strong Robust,0,100,201,,OutOfRange
16,Strong Robust,100,0,201,,OutOfRange
17,Strong Robust,0,0,0,,OutOfRange
18,Strong Robust,0,0,201,,OutOfRange
19,Strong Robust,0,201,0,,OutOfRange
20,Strong Robust,201,0,0,,OutOfRange
21,Strong Robust,201,201,0,,OutOfRange
22,Strong Robust,201,0,201,,OutOfRange
23,Strong Robust,201,201,201,,OutOfRange
24,Strong Robust,100,201,201,,OutOfRange
25,Strong Robust,201,100,201,,OutOfRange
26,Strong Robust,201,201,100,,OutOfRange
27,Strong Robust,0,201,201,,OutOfRange
